File Name,Directory,File Size,File Type,Create Date,Modify Date,Encoder Settings,Software,Aperture Value,Brightness Value,Pixels Per Unit X,Pixels Per Unit Y,Pixel Units,Flash,Image Width,Image Height,Bit Depth,Color Type,Compression,F Number,ISO,GPS Time Stamp,Aperture,Audio Sample Rate,Movie Data Size,Movie Data Offset,Handler Vendor ID,Audio Bits Per Sample,Image Size,App Version,Creator,Doc Security,Hyperlinks,Changed,LastSaved,Links Up To Date,Scale Crop,Artist,Album,Year,Video Frame Rate,Duration,MPEG Audio Version,Audio Layer,Audio Bitrate,Sample Rate,Channel Mode,MS Stereo,Genre,Copyright Flag,Title,ID3 Size,PDF Version,Linearized,Page Count,Producer,Compatible Brands,Movie Header Version,Time Scale,Duration,Preferred Rate,Preferred Volume,Preview Time,Preview Duration,Poster Time,Camera Model Name,Make,Resolution Unit,Megapixels,Filter,Interlace,Significant Bits,Language,Revision Number,Subject,Template,Total Edit Time
file-sample_100kB.doc,D,98 kB,DOC,2017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0
file-sample_100kB.docx,D,109 kB,DOCX,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en-US,0,,,688.8 days
file-sample_100kB.odt,D,113 kB,ODT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file-sample_100kB.rtf,D,98 kB,RTF,2017,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file-sample_150kB.pdf,D,139 kB,PDF,2017,,,,,,,,,,,,,,,,,,,,,,,,,,Writer,,,,,,,,,,,,,,,,,,,,,,1.4,No,4,LibreOffice 4.2,,,,,,,,,,,,,,,,,en-US,,,,
file_example_AVI_480_750kB.avi,D,725 kB,AVI,,,,Lavf57.19.100,,,,,,,480,270,24,,H264,,,,,46.88,,,,,480x270,,,,,,,,,,,,30,0,,,,48000,,,,,,,,,,,,,,0,,,,,,,,,0.130,,,,,,,,
file_example_MP3_700KB.mp3,D,746 kB,MP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin MacLeod,YouTube Audio Library,,,27.29 s (approx),1,3,224 kbps,32000,Stereo,Off,Cinematic,False,Impact Moderato,112,,,,,,,,27.29 s (approx),,,,,,,,,,,,,,,,,
file_example_MP4_480_1_5MG.mp4,D,1533 kB,MP4,2015,2015,,,,,,,,,480,270,0,,,,,,,48000,,,,16,480x270,,,,,,,,,,,,30,0,,,,,,,,,,,,,,,"mp42, mp41, isom, avc1",0,600,0,1,100.00%,0 s,0 s,0 s,,,,0.130,,,,,,,,
file_example_ODP_200kB.odp,D,195 kB,ODP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file_example_ODS_10.ods,D,31 kB,ODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file_example_OOG_1MG.ogg,D,1064 kB,OGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin MacLeod,YouTube Audio Library,,,0,,,,32000,,,Cinematic,,Impact Moderato,,,,,,,,,0,,,,,,,,,,,,,,,,,
file_example_PPT_250kB.ppt,D,242 kB,PPT,2017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
file_example_WAV_1MG.wav,D,1048 kB,WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin MacLeod,,,,0,,,,8000,,,Cinematic,,Impact Moderato,,,,,,,,,0,,,,,,,,,,,,,,,,,
file_example_XLSX_10.xlsx,D,5.3 kB,XLSX,2017,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en-US,4,,,58.7 days
file_example_XLS_10.xls,D,8.5 kB,XLS,2017,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,23.5 hours
